,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2016.03.25,0:00,1.11636,1.11755,1.11508,1.11585,0,,,,,,,
2016.03.27,0:00,1.11612,1.11654,1.11555,1.11569,0,,,,,,,
2016.03.28,0:00,1.1157,1.12194,1.11522,1.12003,0,,,,,,,
2016.03.29,0:00,1.1199,1.13028,1.11685,1.12888,0,,,,,,,
2016.03.30,0:00,1.12896,1.13648,1.12859,1.13323,0,,,,,,,
2016.03.31,0:00,1.13321,1.14113,1.13096,1.13781,0,,,,,,,
2016.04.01,0:00,1.13783,1.14373,1.13341,1.13867,0,,,,,,,
2016.04.03,0:00,1.13936,1.13995,1.13876,1.13941,0,,,,,,,
2016.04.04,0:00,1.13945,1.14122,1.13569,1.1386,0,,,,,,,
2016.04.05,0:00,1.13858,1.14044,1.13354,1.138,0,,,,,,,
2016.04.06,0:00,1.13788,1.14311,1.13261,1.13996,0,,,,,,,
2016.04.07,0:00,1.13991,1.14535,1.13371,1.13662,0,,,,,,,
2016.04.08,0:00,1.13661,1.14187,1.13483,1.13936,0,,,,,,,
2016.04.10,0:00,1.14138,1.1414,1.1392,1.14042,0,,,,,,,
2016.04.11,0:00,1.14036,1.14469,1.13715,1.14097,0,,,,,,,
2016.04.12,0:00,1.141,1.14643,1.13448,1.13826,0,,,,,,,
2016.04.13,0:00,1.13821,1.13907,1.12674,1.12774,0,,,,,,,
2016.04.14,0:00,1.12775,1.12942,1.12331,1.12645,0,,,,,,,
2016.04.15,0:00,1.12644,1.13164,1.1245,1.12771,0,,,,,,,
2016.04.17,0:00,1.12881,1.13007,1.12881,1.12971,0,,,,,,,
2016.04.18,0:00,1.12965,1.13317,1.12732,1.13071,0,,,,,,,
2016.04.19,0:00,1.13063,1.13842,1.13026,1.13578,0,,,,,,,
2016.04.20,0:00,1.13582,1.13874,1.12897,1.13019,0,,,,,,,
2016.04.21,0:00,1.1302,1.13976,1.12689,1.12899,0,,,,,,,
2016.04.22,0:00,1.12895,1.13081,1.12171,1.1221,0,,,,,,,
2016.04.24,0:00,1.12187,1.12333,1.12162,1.12307,0,,,,,,,
2016.04.25,0:00,1.12313,1.12776,1.12227,1.12661,0,,,,,,,
2016.04.26,0:00,1.1266,1.1339,1.12546,1.12956,0,,,,,,,
2016.04.27,0:00,1.1296,1.13606,1.12709,1.1326,0,,,,,,,
2016.04.28,0:00,1.13249,1.13674,1.12954,1.13568,0,,,,,,,
2016.04.29,0:00,1.13564,1.14588,1.13561,1.14488,0,,,,,,,
2016.05.01,0:00,1.14539,1.14655,1.14522,1.14605,0,,,,,,,
2016.05.02,0:00,1.1461,1.15353,1.14478,1.15231,0,,,,,,,
2016.05.03,0:00,1.15246,1.16159,1.14924,1.15004,0,,,,,,,
2016.05.04,0:00,1.15003,1.15288,1.14658,1.14904,0,,,,,,,
2016.05.05,0:00,1.14902,1.14933,1.13855,1.13997,0,,,,,,,
2016.05.06,0:00,1.13999,1.14779,1.1386,1.13986,0,,,,,,,
2016.05.08,0:00,1.13967,1.14003,1.13831,1.13849,0,,,,,,,
2016.05.09,0:00,1.13853,1.14193,1.13746,1.13829,0,,,,,,,
2016.05.10,0:00,1.13827,1.14092,1.1358,1.13726,0,,,,,,,
2016.05.11,0:00,1.1373,1.14461,1.1372,1.14237,0,,,,,,,
2016.05.12,0:00,1.14238,1.14288,1.13698,1.13737,0,,,,,,,
2016.05.13,0:00,1.13733,1.13781,1.12825,1.13054,0,,,,,,,
2016.05.15,0:00,1.13097,1.1319,1.13011,1.13168,0,,,,,,,
2016.05.16,0:00,1.13162,1.13419,1.13026,1.13147,0,,,,,,,
2016.05.17,0:00,1.13147,1.13472,1.13011,1.13135,0,,,,,,,
2016.05.18,0:00,1.13124,1.13155,1.12139,1.12191,0,,,,,,,
2016.05.19,0:00,1.12196,1.12295,1.11795,1.12015,0,,,,,,,
